name,scenario,arith_sharpe_ann,total_return,max_drawdown,n_eff_at_fit,n_days
HRP,A_static,0.784324985093899,5.475196713671835,-0.7769105164418031,16.24273605081788,2297
HRP_Detoned,A_static,0.8062754038876235,6.236617045108404,-0.7873537083221478,16.97347413442404,2297
HRP_PartialCorr,A_static,0.8080399863752514,6.293360899562704,-0.7864916978855597,16.863950331970948,2297
HRP_TailDep,A_static,0.8089054515569309,6.338163326879396,-0.7939096782824754,16.230214303954934,2297
HRP_TailDepShrunk,A_static,0.8083382889767963,6.316769644401045,-0.7938359568453874,16.346392763918534,2297
HRP_ShrunkCov,A_static,0.7958940432772758,5.8625216640722035,-0.7792565798784173,16.628708468273636,2297
HRP_VolStd,A_static,0.7717965789922837,5.083833547714097,-0.7913991766793753,17.15202691672276,2297
IVP,A_static,0.8080399863752514,6.293360899562707,-0.7864916978855596,16.86395033197095,2297
MVP,A_static,0.7997519660318864,5.958613705821382,-0.7454272122742873,8.053456584164143,2297
ERC,A_static,0.8176211757995937,6.638026563256004,-0.7832760470129327,18.694504430464985,2297
MaxDiv,A_static,0.7865790508529461,5.356617909266002,-0.8026802630859409,7.856215985260417,2297
NRP,A_static,0.761279766949488,4.797242327936322,-0.7985252578450105,17.50327909515919,2297
HODL_BTC,A_static,0.8677700550348223,7.488009086418272,-0.7662925431645938,1.0,2297
