name,sharpe,ci_lower_95,ci_upper_95
HRP,0.7440135796437904,0.020018013403421228,1.5253393598914347
HRP_Detoned,0.7094901543879327,-0.06739576877417247,1.5138039201842537
HRP_PartialCorr,0.7216980504222049,-0.008155103597719326,1.4988524641163732
HRP_Dynamic_94,0.7505787547212377,-0.01702453372280728,1.5514040393911566
HRP_TailDep,0.7099608966873241,-0.03287416465141925,1.4983026698854682
HRP_TailDepShrunk,0.702923814379877,-0.05819507042013092,1.4892538063314325
HRP_ShrunkCov,0.7478389940490731,-0.00013348227978532797,1.5242995301275075
HRP_VolStd,0.738172386489262,-0.04097746696130284,1.5146084522146859
IVP,0.6982460041882553,-0.06068734468030221,1.5028392128468762
MVP,1.0578591613728583,0.3359412762271131,1.7556145534015755
ERC,0.6659247016811133,-0.11458061878143046,1.4574738708011052
MaxDiv,0.7288481676051721,-0.03111118645974785,1.4588490473947495
CS_MOM_eq21,0.6676844933900622,-0.07349499941628161,1.437911332178987
RM_MOM,0.6675815351145074,-0.10278502205589211,1.4405954071207412
MOM_HRP,0.7344005511302671,-0.0013774994506340658,1.518217818122265
HERC,0.7209278186768886,-0.029132499564598156,1.502766792834489
NCO,0.9355250987397551,0.19219101181541615,1.6410325760015696
HRP_PathSig,0.7162254899146588,-0.05574051789311999,1.5040936164985685
HRP_NodeEmbed,0.7071297921741247,-0.03481182194131209,1.4809234231953714
HRP_Contrastive,0.7121181829097033,-0.06140607616481263,1.5129697290103816
HRP_TS2Vec,0.7052559378932617,-0.06321872535175463,1.4469281034780839
HODL_BTC,0.8677700550348223,0.07843181079512619,1.6330944075041516
NCO_RT,0.004862499218244609,-0.7632655630499076,0.7328713656992515
HRP_Denoised,0.7145461459575749,-0.030123244602361127,1.4834854829399853
CRISP,0.9905200497691288,0.22578792036020276,1.7511305523069653
NCO_CRISP,0.9793720594425797,0.2629545112075258,1.7635167504131384
