,Total Return (%),Annualized Return (%),Annualized Vol (%),Max Drawdown (%),VaR 95% (%),CVaR 95% (%),Ulcer Index,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Skewness,Kurtosis,Win Rate (%),Profit Factor,Effective N,Max Weight (%),N Assets,Avg Turnover,Total Costs (%),Rebalances
HRP,118.60256245784693,31.24133335555721,87.45465265582702,-81.74946949706205,-7.51775880655,-10.924931307412661,58.76665859307569,0.757859812503314,0.7051024599776812,0.382159462902447,-0.49048394325293987,5.768339845067391,55.14285714285714,1.1199336591921354,40.293890624958635,6.289723689270263,50.0,0.20097120860454226,0.7033992301158981,35.0
IVP,120.95523758456541,31.7306191560236,86.00737766222232,-81.60428067938396,-7.443504761803586,-10.791634454847063,59.098619216265426,0.7595233020452418,0.7048552730832289,0.3888352288857298,-0.47880836319390935,5.607273183346427,55.42857142857143,1.1201778893509233,41.75411727324571,5.388332370875768,50.0,0.07153119699451754,0.2503591894808115,35.0
MVP,200.2344690536768,46.54613942112218,68.58645978831555,-73.83157590564116,-5.533548255569592,-8.358917217970985,48.746136022042826,0.9002604668941075,0.9139465106654988,0.6304367589364401,0.11504635893737494,5.083304074967716,52.761904761904766,1.150663266985912,3.24268684752725,39.55523323642184,6.0,0.16671853487804522,0.5835148720731584,35.0
CS_MOM,121.07111871398861,31.754630940496263,92.54194140800787,-80.54734363470523,-7.479198071571476,-11.203594845085757,57.09672616424228,0.7646660950821605,0.7453717948041796,0.39423560737779845,-0.007940005604170092,6.520196345856171,54.0,1.1221357184505412,15.0,6.666666666666667,15.0,1.374041989756276,4.809146964146964,35.0
TS_MOM,108.49626076489156,29.099522791573882,95.43226513173202,-84.93380527408374,-7.941607662002948,-11.520877686278391,65.01477580345828,0.7499926524201653,0.732570046139232,0.3426141416561865,-0.0910200563549803,5.491857313428033,53.714285714285715,1.1186477396141297,4.0,25.0,4.0,1.510862152586642,5.288017534053249,35.0
RM_MOM,121.07111871398853,31.75463094049624,92.54194140800787,-80.54734363470523,-7.479198071571476,-11.203594845085757,57.09672616424229,0.7646660950821605,0.7453717948041795,0.39423560737779817,-0.0079400056041705,6.520196345856174,54.0,1.1221357184505414,15.0,6.666666666666667,15.0,1.374041989756276,4.809146964146964,35.0
MOM_HRP,289.5454500027697,60.4313569409358,91.03715019146638,-76.04594830347133,-7.474142370206918,-11.104755252829019,52.21078470252943,0.9800856321784672,0.9415948979899477,0.7946689901186653,-0.16201026236580113,5.713663498385589,55.23809523809524,1.159182977364231,14.057640008756703,13.979544457856472,20.0,1.2848500990269989,4.496975346594496,35.0
