date,N,pearson_cophenetic,taildep_cophenetic,pearson_ari_vs_prev,taildep_ari_vs_prev
2020-01-31,19,0.9560831367229297,0.8841102874014855,,
2020-02-29,20,0.9575343257727993,0.8855248744433498,1.0,0.5809817405738676
2020-03-31,21,0.9590407468843234,0.8544017263078747,0.5809817405738676,0.6274509803921569
2020-04-30,22,0.9564201608285404,0.8513467960517882,1.0,0.4406047516198704
2020-05-31,22,0.9501417051662383,0.8733223891449957,1.0,1.0
2020-06-30,27,0.9294389902582052,0.8290041211833753,0.5947944815815673,0.3099234153495193
2020-07-31,27,0.9332409779739383,0.8735689129789094,0.5815339780103325,0.6100276576129352
2020-08-31,32,0.9316316570230625,0.8131841399628614,0.6100276576129352,0.24494716686759804
2020-09-30,32,0.9218499017165387,0.7628964740943,0.8284023668639053,0.7730829420970265
2020-10-31,29,0.9295752669228601,0.7598850670096247,1.0,0.8272340425531914
2020-11-30,31,0.9008785181467014,0.7952676521786363,0.8272340425531914,0.8272340425531914
2020-12-31,32,0.8715829575970286,0.7464402599077277,1.0,0.50107973760339
2021-01-31,35,0.9282950346038575,0.7535996084740307,0.2598806259074044,0.4624145785876993
2021-02-28,38,0.9004320610131802,0.7996846310428825,0.8330995792426368,0.4658370509509274
2021-03-31,47,0.8586813163996713,0.6916247904682888,0.2175030525442366,-0.040173296573454115
2021-04-30,50,0.8382629683126275,0.727789650121685,0.7167487684729064,0.6515151515151515
2021-05-31,52,0.831193122159637,0.712552328341267,0.637372802960222,0.0
2021-06-30,52,0.8191490773493328,0.7424804628696245,0.8413587159387831,1.0
2021-07-31,52,0.8426857995358886,0.7220518527218409,0.8410123296560675,0.6380058147848053
2021-08-31,51,0.868603086041763,0.7295057321077313,0.7842597688497523,0.7842597688497523
2021-09-30,52,0.8533446637385759,0.7447916482811757,1.0,0.0
2021-10-31,52,0.8486781759862689,0.747583978645776,0.8410123296560675,0.0
2021-11-30,50,0.8448116808801887,0.6678286508617144,1.0,0.0
2021-12-31,51,0.8638507674676403,0.7868839526540508,0.6353110892788301,1.0
2022-01-31,51,0.8321770717299738,0.7697270163042313,0.7196796338672768,0.6380023640661938
2022-02-28,50,0.7777648588918057,0.7019015586058786,0.8410123296560675,0.7845964480393881
2022-03-31,51,0.7644012083328214,0.6678974174626323,0.7189964157706094,0.7842597688497523
2022-04-30,50,0.8281740244623792,0.7655204886971462,0.5280760021626631,0.6521739130434783
2022-05-31,48,0.7790651682980502,0.6596635931305588,1.0,0.6518518518518519
2022-06-30,49,0.7653532132699002,0.6662488880559904,0.8402718776550552,1.0
2022-07-31,50,0.7516363488314933,0.6751617562166906,1.0,1.0
2022-08-31,49,0.7836583173278292,0.648367636621378,1.0,1.0
2022-09-30,48,0.7955209289374007,0.5567411012913903,0.8398755739890387,0.472039072039072
2022-10-31,50,0.8470868627868967,0.605476955295029,0.5232736704907667,0.4726507713884993
2022-11-30,48,0.8468329531271653,0.6054933539231654,0.6224337994644451,0.8402718776550552
2022-12-31,48,0.8798379687496906,0.6857190009781275,0.6353110892788301,0.7831552482715274
2023-01-31,48,0.873699360344074,0.6708766880606818,0.8394602140530479,0.7831552482715274
2023-02-28,50,0.8678453687728523,0.6549593476259329,0.717533315913248,0.7835402482979575
2023-03-31,51,0.8762543648368396,0.6757099435817842,0.7182817182817183,0.7839080459770115
2023-04-30,51,0.8679447086820541,0.7689987800648324,0.5280760021626631,0.3613282247765006
2023-05-31,52,0.8672100466609227,0.770852771632744,0.8410123296560675,0.4765263389905224
2023-06-30,52,0.8488006181278224,0.7536707099100883,1.0,0.6391867099792975
2023-07-31,50,0.8060738930378645,0.7310222783015808,0.7189964157706094,0.7189964157706094
2023-08-31,51,0.7927553151439144,0.7274199588707544,0.7189964157706094,0.28280398807688356
2023-09-30,50,0.8294989611893789,0.7387415710899823,0.8406504065040651,0.637372802960222
2023-10-31,51,0.8386746378266617,0.768681341450209,0.8406504065040651,0.6373764892449071
