date,n,rho_detoned_partialcorr,rho_detoned_ivp,rho_partialcorr_ivp
2020-01-31,22,0.7910784867306607,0.9706380575945794,0.44325239977413894
2020-02-29,23,0.7430830039525691,0.9397233201581027,0.12450592885375496
2020-03-31,24,0.9052173913043478,0.9747826086956521,0.28521739130434776
2020-04-30,25,0.9261538461538461,0.9515384615384614,0.08846153846153845
2020-05-31,27,0.934065934065934,0.9731379731379731,0.1452991452991453
2020-06-30,33,0.9605614973262033,0.9926470588235295,0.5177139037433156
2020-07-31,34,0.9504965622612682,0.9960275019098548,0.3790679908326967
2020-08-31,44,0.7901338971106412,0.715292459478506,-0.4658210007047216
2020-09-30,40,0.7739212007504692,0.7185741088180114,0.038086303939962485
2020-10-31,34,0.9584415584415584,0.998472116119175,-0.4799083269671505
2020-11-30,37,0.8044096728307255,0.7515410146989094,-0.12802275960170695
2020-12-31,37,0.9630156472261735,0.9962067330488381,-0.5663821716453296
2021-01-31,43,0.9398973119903352,0.993204469948656,0.02401087284808215
2021-02-28,45,0.5424242424242424,0.503820816864295,0.24848484848484848
2021-03-31,49,0.6238775510204081,0.7018367346938774,-0.06459183673469387
2021-04-30,49,0.8077551020408162,0.8025510204081632,-0.11948979591836732
2021-05-31,48,0.6602257924446375,0.6815023881893183,-0.13243595310464612
2021-06-30,48,0.752062527138515,0.7521710811984368,0.1271168041684759
2021-07-31,47,0.7505781683626273,0.6809666975023128,0.1419981498612396
2021-08-31,49,0.6962244897959182,0.6581632653061223,-0.011428571428571427
2021-09-30,49,0.6806122448979591,0.6496938775510203,0.05224489795918367
2021-10-31,50,0.8372148859543818,0.8842737094837935,0.19106842737094837
2021-11-30,48,0.90566652192792,0.879830655666522,-0.33456361267911416
2021-12-31,49,0.8580612244897958,0.882142857142857,0.09714285714285713
2022-01-31,51,0.8638009049773755,0.8671493212669683,-0.15891402714932124
2022-02-28,50,0.8766866746698678,0.8916686674669867,0.08427370948379351
2022-03-31,48,0.9265089014329135,0.9871906209292228,-0.1323273990447243
2022-04-30,47,0.9266882516188714,0.9968778908418132,-0.045790934320074
2022-05-31,45,0.9803689064558629,0.9964426877470356,0.0772068511198946
2022-06-30,47,0.9814986123959297,0.9982654949121185,-0.16732192414431085
2022-07-31,47,0.9712072155411656,0.997340425531915,0.09632284921369104
2022-08-31,47,0.978376503237743,0.9976873265494912,-0.02590194264569843
2022-09-30,46,0.9839654640764722,0.9977798334875116,0.039777983348751156
2022-10-31,48,0.9854537559704732,0.998588797221016,0.30731654363873206
2022-11-30,46,0.9829787234042553,0.9923527597903176,-0.054209065679926
2022-12-31,47,0.9567530064754857,0.9986123959296948,-0.09701665124884368
2023-01-31,48,0.950825010855406,0.9983716891011724,-0.05058619192357794
2023-02-28,49,0.9699999999999999,0.9979591836734694,0.08377551020408162
2023-03-31,50,0.9636014405762304,0.99875150060024,0.2741416566626651
2023-04-30,51,0.9790950226244344,0.9962895927601809,0.19294117647058823
2023-05-31,48,0.9307425097698653,0.9942466348241424,0.2293747286148502
2023-06-30,46,0.9641073080481035,0.9979031760715386,-0.08886833179155104
2023-07-31,47,0.9395235892691951,0.9942183163737282,-0.3833256244218316
2023-08-31,45,0.9716732542819498,0.9957839262187087,-0.09249011857707509
2023-09-30,48,0.969279201042119,0.998588797221016,0.37190620929222756
2023-10-31,51,0.9508597285067872,0.995475113122172,0.33710407239819007
2023-11-30,45,0.9620553359683794,0.9915678524374176,0.5299077733860342
2023-12-31,44,0.9426356589147286,0.9916842847075404,0.5207892882311487
2024-01-31,44,0.9453136011275547,0.9949260042283298,0.3481324876673713
2024-02-29,48,0.9290056448111159,0.9948979591836735,0.4980460269214068
2024-03-31,48,0.9150021710811984,0.9901215805471123,0.3379287885366913
2024-04-30,49,0.9274489795918366,0.9930612244897958,0.388469387755102
2024-05-31,49,0.8753061224489794,0.8745918367346939,-0.4274489795918367
2024-06-30,51,0.811945701357466,0.7866968325791855,0.24190045248868777
2024-07-31,48,0.865392965696917,0.8609422492401216,-0.06828050369083803
2024-08-31,42,0.9421440726035168,0.9923831131999027,0.3603435702131108
2024-09-30,44,0.957152924594785,0.9928118393234671,0.2303030303030303
2024-10-31,47,0.7742830712303422,0.7706984273820537,-0.1669750231267345
2024-11-30,49,0.798265306122449,0.7990816326530611,0.11122448979591835
2024-12-31,50,0.7139975990396157,0.7266746698679472,-0.11356542617046818
2025-01-31,51,0.6670588235294118,0.586606334841629,0.017466063348416286
2025-02-28,49,0.6876530612244898,0.6424489795918367,0.171734693877551
2025-03-31,50,0.590204081632653,0.6333253301320528,0.22487394957983195
2025-04-30,48,0.6996309161962657,0.6431828050369084,-0.06578376031263569
2025-05-31,48,0.8029743812418584,0.7803951367781155,0.10312635692574902
2025-06-30,48,0.6886669561441597,0.6246200607902735,0.31849761181068176
2025-07-31,49,0.735408163265306,0.7036734693877551,0.05520408163265305
2025-08-31,48,0.8098132870169344,0.8081849761181069,0.19072948328267478
2025-09-30,47,0.6951896392229417,0.7237511563367253,0.35534227567067533
2025-10-31,47,0.9567530064754857,0.9945652173913044,0.13864477335800185
2025-11-30,49,0.9670408163265306,0.998469387755102,0.08102040816326529
2025-12-31,46,0.9548566142460684,0.9985198889916743,-0.1477027443724946
2026-01-31,47,0.9646160962072157,0.995259019426457,-0.03191489361702128
2026-02-28,47,0.9642691951896392,0.9975716928769659,0.016651248843663275
2026-03-31,47,0.9627659574468086,0.9986123959296948,-0.009944495837187789
2026-04-30,46,0.9660807893925377,0.9965464076472402,0.13006475485661423
