name,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,arith_sharpe_ann,rebalances,avg_turnover,total_costs,avg_max_weight,avg_n_eff
HRP,-0.5992975379213161,-0.1917519517912219,0.6963868322777789,-0.2753526386534758,-0.365180949403048,-0.7752737204871518,-0.2473345177632649,1568,0.0466350448478998,52.0,0.3513394739900295,0.0253537282532055,0.1298970753154462,28.40067865194264
HRP_Detoned,-0.6435217092397648,-0.2134578740939947,0.7105868421633644,-0.3003966038044378,-0.4013527726841669,-0.7857356308689021,-0.271666277699464,1568,0.0226893185706657,52.0,0.2444489833418197,0.0182181824206018,0.0829028845621099,32.63995722429906
HRP_PartialCorr,-0.5842217220865686,-0.184773261570851,0.6939326796636671,-0.2662697218127935,-0.3545428291947844,-0.7610812406486271,-0.2427773169305541,1568,0.0573584467821527,52.0,0.2254838187594796,0.016991310359654,0.1050955340553849,29.196562814863867
HRP_Dynamic_94,-0.5096808918764156,-0.152871155031418,0.6801829583166995,-0.2247500516768898,-0.2997320056517808,-0.7629731465703927,-0.200362431782275,1568,0.0993835690148258,52.0,0.4590578782156196,0.0316769739329761,0.1494162555495436,24.488562347828804
HRP_TailDep,-0.5991421666186569,-0.1916790101252841,0.694516956675106,-0.2759889564725937,-0.3650143785464939,-0.7820701859020246,-0.245091826258797,1568,0.045631591346097,52.0,0.3560887767963399,0.0253333919038811,0.1251753227628005,28.19423299200008
HRP_TailDepShrunk,-0.6212936563968741,-0.2023047309197633,0.6995688156203839,-0.2891848898958677,-0.3835900755477119,-0.7813021376882139,-0.258932775377219,1568,0.0317270874377527,52.0,0.3483907451603472,0.024916734001985,0.1103179450588873,30.419116053577437
HRP_ShrunkCov,-0.6112798486827926,-0.1974437846778377,0.6976602187396178,-0.2830085181501915,-0.3743520983860597,-0.7787714580891674,-0.2535323844074816,1568,0.0383136752668028,52.0,0.3506513478277698,0.0252508485188217,0.1194973517442188,29.20490879976963
HRP_VolStd,-0.6048802944234942,-0.1943873863329965,0.6940069391415867,-0.2800942978660029,-0.3692519200059131,-0.7870061934801295,-0.2469960058045013,1568,0.0401371545743142,52.0,0.356532540692865,0.0255900280643106,0.1257863263037326,28.288237355182865
IVP,-0.6119279619836134,-0.1977554683869601,0.7048559960822124,-0.2805615182195236,-0.3753250504688449,-0.76786755120842,-0.2575385143905943,1568,0.0448580779096256,52.0,0.174154656814665,0.0138257608481351,0.0899430486588551,32.71076030386628
MVP,0.6621797249769512,0.1255623445004037,0.566424397924893,0.2216753814991089,0.2948872638320515,-0.7122296941931701,0.1762947340220679,1568,0.4820403416075329,52.0,0.320593327720387,0.0209596529387337,0.5035613507083496,3.1337048565730306
ERC,-0.7154034653953172,-0.2536281798717825,0.7340699905788924,-0.3455095333236135,-0.4641635629567724,-0.8058378844058416,-0.3147384663588844,1568,-0.0255141069268995,52.0,0.1826791499610698,0.0150835281673711,0.0510785553224038,43.46571141952624
MaxDiv,-0.8293243479788671,-0.3373801709332401,0.7518921955341291,-0.4487081697843293,-0.5769153991287398,-0.8942078401377355,-0.3772950267146766,1568,-0.1632744918657315,52.0,0.5437761930660596,0.0405207947053595,0.2422580083687313,7.78869997110372
CS_MOM_eq21,-0.829335259936528,-0.3373900326605026,0.7564734360022913,-0.4460038074086195,-0.6182024277289344,-0.8701135426396991,-0.3877540299360801,1568,-0.1606807315084512,52.0,1.4166948436179203,0.0905235164835164,0.0719956325725556,13.923076923076923
RM_MOM,-0.1873686161067227,-0.0471490421110492,0.1892337005523128,-0.249157745018124,-0.3456792878442291,-0.3332220048720384,-0.1414943833891013,1568,-0.1604256243641347,52.0,0.3706808120227,0.023660922230656,0.0180790629198751,221.47110717781848
MOM_HRP,-0.7304520845997865,-0.2630074559442107,0.7627363408750932,-0.344820932017557,-0.4827577973173316,-0.8526390828597132,-0.3084628200036239,1568,-0.0149929171727327,52.0,1.466142587476057,0.094259234204349,0.1933182805778341,12.512370818965987
HERC,-0.6958433185737694,-0.2419897344105072,0.7010394750871385,-0.3451870301318312,-0.4478117923536632,-0.8037068105358784,-0.3010920540155165,1568,-0.0381570292090628,52.0,0.5478523804837865,0.0398848777091037,0.1659024062787193,16.803351561309263
NCO,-0.0398642806110365,-0.0094249659402719,0.5627394847509146,-0.0167483643776013,-0.0215202371271882,-0.7380624317884295,-0.0127698762792111,1568,0.2643160979551668,52.0,0.5441097063369239,0.0356136204911902,0.402511423301544,5.237105288438981
HRP_PathSig,-0.5868280524398568,-0.1859657106340231,0.6939748438181994,-0.2679718325391353,-0.3576467919680051,-0.7765767265851489,-0.2394685602435867,1568,0.055047812241817,52.0,0.3819955000032831,0.0268701706978657,0.1164251975503486,28.587728684805864
HRP_NodeEmbed,-0.6228116257344277,-0.2030501715989887,0.7006478252215501,-0.2898034708589622,-0.3868227743974303,-0.7805262806653538,-0.2601452079562268,1568,0.0311603506842211,52.0,0.3821411490518537,0.0268216187781398,0.106520576461566,29.72878246527732
HRP_Contrastive,-0.58843819333444,-0.1867052696026166,0.6955392363631138,-0.2684324044447511,-0.3554802984331381,-0.7711259201059755,-0.2421203395380068,1568,0.0556881380249825,52.0,0.3957864466215277,0.0278109636805169,0.1156863540618924,29.0172893413328
HRP_TS2Vec,-0.6040359384276165,-0.1939869677259047,0.6997095086756202,-0.2772392904779511,-0.3667873965326123,-0.7764029353670727,-0.2498534702656557,1568,0.0467280433759018,52.0,0.3806508210165434,0.0267675190566003,0.1091062604336479,29.97588868199037
HODL_BTC,1.0637851062672232,0.1839717402854015,0.5142464957084337,0.3577501097639164,0.5099860992674953,-0.6673056490171775,0.2756933656359109,1566,0.5853851060191445,,,,,
NCO_RT,-0.9785764203447724,-0.5912441070537096,0.9866319656586808,-0.5992549680457512,-0.8475232173430971,-0.9821503063395272,-0.6019894340381315,1568,-0.4142039457141973,52.0,1.6286532076857787,0.1052087933070327,0.6679676149495397,2.349922736162041
HRP_Denoised,-0.5948147951630766,-0.1896561137314447,0.6966396231899402,-0.2722442241556717,-0.3614875251180972,-0.7692714170527416,-0.24653992014686,1568,0.0509725888813347,52.0,0.3301893971900366,0.0237480694893912,0.1166879744731164,29.640227890809893
CRISP,0.2001130447959782,0.0433772956970954,0.589421457641427,0.0735930040122223,0.0969895860416761,-0.703978063491357,0.0616173968290533,1568,0.3628343824359873,52.0,0.2612078013805449,0.0181747632009016,0.3306196695823047,6.51001444512208
NCO_CRISP,0.1960545713194368,0.0425548771439689,0.6095728405213194,0.0698109796157833,0.0913046041457844,-0.7155512700649334,0.0594714577756354,1568,0.3675687031501621,52.0,0.403626503919058,0.0275979087862448,0.352763752040177,7.446867738547128
NCOML,0.21967082013704564,0.04731087481099694,0.8522914982147581,0.055510203856422455,0.08310584436146919,-0.7921034175647901,0.05972815387723933,1568,0.47057018903430786,52.0,1.5099009827518168,0.09726425255975145,0.7196295468902186,2.0115931348086895
HRPSigmaMu,-0.638827713915747,-0.21105906317545864,0.7064787190182334,-0.29874794171968744,-0.4023802615835673,-0.7796768875756589,-0.27070067939519077,1568,0.022356604418558964,52.0,1.3591025652547124,0.0875185136934145,0.258855035034205,8.473335832262059
