name,sharpe,ci_lower_95,ci_upper_95
HRP,0.04663504484789984,-0.8775542619389675,1.0341256656554407
HRP_Detoned,0.02268931857066575,-0.897570290965712,1.0475115930063288
HRP_PartialCorr,0.04485807790962541,-0.8860425964179077,1.051784077934156
HRP_Dynamic_94,0.09938356901482583,-0.8756177885361843,1.091862074640543
HRP_TailDep,0.045631591346097046,-0.8792780361833423,1.0167565010220097
HRP_TailDepShrunk,0.031727087437752724,-0.8886999765695633,1.0076390399224886
HRP_ShrunkCov,0.03831367526680287,-0.9140913560027251,1.0038802269493108
HRP_VolStd,0.040137154574314264,-0.919050224238993,1.0122603378319857
IVP,0.04485807790962564,-0.886042596417908,1.051784077934156
MVP,0.4820403416075329,-0.4826348016048746,1.4387797749067497
ERC,-0.025514106926899597,-0.9528120566613714,0.9747649013353291
MaxDiv,-0.16327449186573156,-1.1807997314921987,0.8234025733211721
CS_MOM_eq21,-0.16068073150845125,-1.0808425455969966,0.8811995284705654
RM_MOM,-0.16042562436413474,-1.081383631082032,0.8765896798846874
MOM_HRP,-0.01499291717273273,-0.9849037911123513,1.0454712571958211
HRP_PathSig,0.055047812241817026,-0.8788285967939979,1.0350143135522272
HRP_NodeEmbed,0.05747260103235441,-0.889454574050903,1.0377358152310447
HRP_Contrastive,0.07108587965239199,-0.8713900719806789,1.054095797295064
HRP_TS2Vec,0.05056279530120744,-0.8924105398198603,1.0277616819119344
HODL_BTC,0.5387365670798651,-0.14948205307650095,1.4415940490106505
