strategy,scenario,sharpe_ann,total_return,avg_turnover,actual_rebalances
HRP,B_calendar,0.7414912852569752,4.174935828602413,0.3596762050716636,76
HRP_TailDep,B_calendar,0.7078031909091358,3.3690657168438847,0.36468466451111997,76
HRP_ShrunkCov,B_calendar,0.745519988712384,4.276804542116166,0.3531987957899247,76
MVP,B_calendar,1.0565159919370786,28.6698703566812,0.38089518872610867,76
RM_MOM,B_calendar,0.6631640443658587,1.1810793135037971,0.36636008165321554,76
HRP,C_threshold_5pct,0.7350103619676973,4.002043900788654,0.3498624032454951,76
HRP_TailDep,C_threshold_5pct,0.7025488946528236,3.2546109013567888,0.35145664420594724,76
HRP_ShrunkCov,C_threshold_5pct,0.7454026307418598,4.274795398833217,0.34411450926401616,76
MVP,C_threshold_5pct,1.0521429527218176,28.027895526813246,0.3767793475724284,76
RM_MOM,C_threshold_5pct,0.36512877205853667,0.4234990565556236,0.13760603431656063,76
HRP,Cprime_smoothed_e25_t25,0.7309124248425974,3.941701562862219,0.23097283929073958,76
HRP_TailDep,Cprime_smoothed_e25_t25,0.696936233122677,3.177669506782385,0.22985974975260787,76
HRP_ShrunkCov,Cprime_smoothed_e25_t25,0.7391493918252442,4.1431613100979865,0.22838480423797666,76
MVP,Cprime_smoothed_e25_t25,1.0160268634214935,26.083347972213407,0.2473084459455992,76
RM_MOM,Cprime_smoothed_e25_t25,0.04579888414123292,-0.6751080454778529,0.3638121483159083,76
