strategy,cost_scenario,sharpe_ann,total_return,avg_turnover,total_costs
HRP,zero,0.7487405969001965,4.37200368375665,0.3596762050716636,0.0
HRP_Detoned,zero,0.7136792782290832,3.466025157401533,0.2634038060017595,0.0
HRP_TailDep,zero,0.7151807633107664,3.536412159988525,0.36468466451111997,0.0
HRP_ShrunkCov,zero,0.7526630666967348,4.47494118892569,0.3531987957899247,0.0
MVP,zero,1.064047598420313,29.77981379600777,0.38089518872610867,0.0
HRP,conservative_cex,0.7414912852569752,4.174935828602413,0.3596762050716636,0.037763114397682776
HRP_Detoned,conservative_cex,0.7082314111689467,3.342050891206517,0.2634038060017595,0.028427663901572187
HRP_TailDep,conservative_cex,0.7078031909091358,3.3690657168438847,0.36468466451111997,0.03795969462475342
HRP_ShrunkCov,conservative_cex,0.745519988712384,4.276804542116166,0.3531987957899247,0.0372073977805044
MVP,conservative_cex,1.0565159919370786,28.6698703566812,0.38089518872610867,0.03712120377144887
HRP,optimistic_cex,0.7436061683787863,4.231666149884909,0.3596762050716636,0.02674887269835863
HRP_Detoned,optimistic_cex,0.7098206649742654,3.3778560630360657,0.2634038060017595,0.0201362619302803
HRP_TailDep,optimistic_cex,0.7099554761403042,3.4172363652264703,0.36468466451111997,0.026888117025867003
HRP_ShrunkCov,optimistic_cex,0.7476038580381055,4.333852774863035,0.3531987957899247,0.02635524009452395
MVP,optimistic_cex,1.058713710228406,28.989493988212576,0.38089518872610867,0.02629418600477627
HRP,stress,0.7402825970497231,4.142791119835519,0.3596762050716636,0.04405696679729657
HRP_Detoned,stress,0.707323158674345,3.321720298716661,0.2634038060017595,0.03316560788516755
HRP_TailDep,stress,0.7065731328238096,3.3417724667415403,0.36468466451111997,0.04428631039554566
HRP_ShrunkCov,stress,0.7443290333143799,4.244475968428113,0.3531987957899247,0.04340863074392181
MVP,stress,1.055259785809737,28.488727229339364,0.38089518872610867,0.04330807106669033
