date,n_eligible,n_included,included_symbols
2020-08-31,35,32,"BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BCHUSDT,EOSUSDT,LTCUSDT,ADAUSDT,XTZUSDT,VETUSDT,TRXUSDT,ZECUSDT,ALGOUSDT,ATOMUSDT,NEOUSDT,KAVAUSDT,XLMUSDT,WAVESUSDT,ETCUSDT,ZILUSDT,THETAUSDT,BATUSDT,DASHUSDT,MATICUSDT,XMRUSDT,IOTAUSDT,FETUSDT,ONEUSDT,DOGEUSDT,FTMUSDT,ENJUSDT,HBARUSDT"
2020-09-30,32,32,"BTCUSDT,ETHUSDT,LINKUSDT,TRXUSDT,XRPUSDT,ADAUSDT,EOSUSDT,BCHUSDT,VETUSDT,NEOUSDT,LTCUSDT,ATOMUSDT,ZECUSDT,XTZUSDT,XMRUSDT,XLMUSDT,THETAUSDT,ALGOUSDT,WAVESUSDT,ETCUSDT,FTMUSDT,KAVAUSDT,DASHUSDT,ZILUSDT,MATICUSDT,BATUSDT,FETUSDT,IOTAUSDT,DOGEUSDT,FTTUSDT,ONEUSDT,STXUSDT"
2020-10-31,29,29,"BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BCHUSDT,ADAUSDT,LTCUSDT,TRXUSDT,EOSUSDT,XMRUSDT,ZECUSDT,VETUSDT,NEOUSDT,ATOMUSDT,XTZUSDT,XLMUSDT,THETAUSDT,ETCUSDT,WAVESUSDT,DASHUSDT,ALGOUSDT,ZILUSDT,KAVAUSDT,FTMUSDT,MATICUSDT,BATUSDT,IOTAUSDT,FETUSDT,DOGEUSDT"
2020-11-30,32,31,"BTCUSDT,ETHUSDT,LINKUSDT,LTCUSDT,XRPUSDT,BCHUSDT,ADAUSDT,EOSUSDT,TRXUSDT,ZECUSDT,VETUSDT,XMRUSDT,ETCUSDT,ATOMUSDT,XTZUSDT,NEOUSDT,DASHUSDT,WAVESUSDT,XLMUSDT,KAVAUSDT,THETAUSDT,ALGOUSDT,ZILUSDT,BATUSDT,MATICUSDT,IOTAUSDT,FTMUSDT,DOGEUSDT,FETUSDT,ONEUSDT,STXUSDT"
2020-12-31,35,32,"BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT,LINKUSDT,ADAUSDT,XLMUSDT,EOSUSDT,TRXUSDT,VETUSDT,ZILUSDT,THETAUSDT,ETCUSDT,ZECUSDT,XMRUSDT,DASHUSDT,WAVESUSDT,NEOUSDT,ALGOUSDT,XTZUSDT,ATOMUSDT,BATUSDT,IOTAUSDT,DOGEUSDT,MATICUSDT,KAVAUSDT,STXUSDT,ENJUSDT,FTMUSDT,FETUSDT,ONEUSDT"
2021-01-31,38,35,"BTCUSDT,ETHUSDT,LTCUSDT,LINKUSDT,XRPUSDT,ADAUSDT,BCHUSDT,XLMUSDT,EOSUSDT,TRXUSDT,VETUSDT,ATOMUSDT,NEOUSDT,ETCUSDT,ZECUSDT,THETAUSDT,XTZUSDT,DOGEUSDT,ZILUSDT,ALGOUSDT,DASHUSDT,XMRUSDT,WAVESUSDT,ENJUSDT,MATICUSDT,IOTAUSDT,BATUSDT,KAVAUSDT,HBARUSDT,COMPUSDT,CHZUSDT,FTMUSDT,STXUSDT,FETUSDT,ONEUSDT"
2021-02-28,47,38,"BTCUSDT,ETHUSDT,ADAUSDT,XRPUSDT,DOGEUSDT,LTCUSDT,LINKUSDT,BCHUSDT,XLMUSDT,EOSUSDT,TRXUSDT,VETUSDT,ATOMUSDT,ALGOUSDT,MATICUSDT,NEOUSDT,XTZUSDT,IOTAUSDT,FTMUSDT,DASHUSDT,ZECUSDT,ETCUSDT,THETAUSDT,ZILUSDT,SNXUSDT,XMRUSDT,KAVAUSDT,CHZUSDT,COMPUSDT,BATUSDT,WAVESUSDT,HBARUSDT,ENJUSDT,FETUSDT,ONEUSDT,MKRUSDT,FTTUSDT,STXUSDT"
2021-03-31,51,47,"BTCUSDT,ETHUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,ENJUSDT,LTCUSDT,THETAUSDT,VETUSDT,LINKUSDT,LUNAUSDT,ONEUSDT,EOSUSDT,TRXUSDT,DOGEUSDT,MATICUSDT,XLMUSDT,BCHUSDT,SUSHIUSDT,MANAUSDT,ALGOUSDT,FTMUSDT,SANDUSDT,HBARUSDT,ATOMUSDT,CRVUSDT,NEOUSDT,ZILUSDT,SOLUSDT,IOTAUSDT,BATUSDT,FETUSDT,XTZUSDT,KAVAUSDT,ETCUSDT,DASHUSDT,ZECUSDT,SRMUSDT,XMRUSDT,YFIUSDT,SNXUSDT,FTTUSDT,COMPUSDT,WAVESUSDT,STXUSDT,MKRUSDT"
2021-04-30,55,50,"BTCUSDT,XRPUSDT,ETHUSDT,DOGEUSDT,ADAUSDT,VETUSDT,CHZUSDT,TRXUSDT,DOTUSDT,LTCUSDT,EOSUSDT,LINKUSDT,BCHUSDT,XLMUSDT,THETAUSDT,UNIUSDT,SOLUSDT,NEOUSDT,ETCUSDT,ENJUSDT,LUNAUSDT,AVAXUSDT,ONEUSDT,ATOMUSDT,ZECUSDT,MATICUSDT,SUSHIUSDT,IOTAUSDT,EGLDUSDT,DASHUSDT,XTZUSDT,ALGOUSDT,CRVUSDT,ZILUSDT,RUNEUSDT,MANAUSDT,XMRUSDT,HBARUSDT,FTMUSDT,SRMUSDT,FTTUSDT,BATUSDT,YFIUSDT,COMPUSDT,WAVESUSDT,SANDUSDT,FETUSDT,KAVAUSDT,SNXUSDT,STXUSDT"
2021-05-31,56,52,"ETHUSDT,BTCUSDT,DOGEUSDT,XRPUSDT,ADAUSDT,MATICUSDT,DOTUSDT,ETCUSDT,EOSUSDT,LTCUSDT,LINKUSDT,VETUSDT,BCHUSDT,TRXUSDT,XLMUSDT,SOLUSDT,FILUSDT,THETAUSDT,CHZUSDT,UNIUSDT,SUSHIUSDT,LUNAUSDT,AAVEUSDT,NEOUSDT,ZECUSDT,FTMUSDT,RUNEUSDT,AVAXUSDT,YFIUSDT,ATOMUSDT,DASHUSDT,XMRUSDT,CRVUSDT,XTZUSDT,ENJUSDT,ONEUSDT,WAVESUSDT,IOTAUSDT,ZILUSDT,HBARUSDT,ALGOUSDT,SRMUSDT,COMPUSDT,KAVAUSDT,EGLDUSDT,NEARUSDT,MANAUSDT,SNXUSDT,BATUSDT,FTTUSDT,SANDUSDT,FETUSDT"
