strategy,sharpe_ann,total_return,ci_lower_95,ci_upper_95
HRP,0.8159917199086133,6.76752352371583,0.0778412638303357,1.629608188396003
HRP_Detoned,0.7781521207074747,5.375003956205326,0.0476277936879791,1.6012577780428214
HRP_PartialCorr,0.8066892666341303,6.415181763493206,0.0654666672087486,1.5655072471463507
HRP_Dynamic_94,0.8213176804372159,7.036898511714272,0.102035573625159,1.5642392380990426
HRP_TailDep,0.7929103350829506,5.9062170817764645,0.0520465980870884,1.561940653718085
HRP_TailDepShrunk,0.7840002328010345,5.5737258747404805,0.0296678437704231,1.5187723160598183
HRP_ShrunkCov,0.7969426050389873,6.022624500359715,0.0456588411508031,1.540204628425681
HRP_VolStd,0.8188258827491023,6.8756171592701545,0.0876673036443432,1.608235312276867
IVP,0.7777724064143341,5.371862237069966,0.0766360720355804,1.5540164539031769
MVP,1.1636878924672498,35.443150446220166,0.4451436837787866,1.9372040100773689
ERC,0.738255754002027,4.075203318967669,0.0129373374344006,1.505817163248978
MaxDiv,0.7410297097341242,4.591339683157738,-0.0049177064615014,1.4768366737794487
CS_MOM_eq21,0.9120135312696426,12.36444030568037,0.1508249437747535,1.7118055702984731
RM_MOM,0.9189522617484616,2.1768809412936574,0.1751832625978011,1.6808883346891754
MOM_HRP,0.8663793167600912,9.253025500406578,0.0797341168790086,1.6441571692417472
HERC,0.8287116349050798,7.806064795763133,0.0751334850835421,1.5750743603038144
NCO,1.0261148817392631,18.81886451855398,0.2973222904872687,1.825858033705619
HODL_BTC,0.923202257268066,9.808420373190632,0.165427882800951,1.7028810653336504
NCO_RT,0.4559693187885753,-0.4373947303363135,-0.29386430753046594,1.169577876580848
