name,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,arith_sharpe_ann,rebalances,avg_turnover,total_costs,avg_max_weight,avg_n_eff
HRP,4.174935828602413,0.2982038540806615,0.8195363777591875,0.3638689656413101,0.4548241108009045,-0.8497433576228381,0.3509340219085542,2299,0.7414912852569752,76.0,0.3596762050716635,0.0377631143976827,0.1118812494786942,29.792428605001227
HRP_Detoned,3.342050891206524,0.2625350056195972,0.8216031148693722,0.319539934632962,0.4029018105266744,-0.8487420037896669,0.3093225084270224,2299,0.708231411168947,76.0,0.2634038060017594,0.0284276639015721,0.0805861429865197,31.884195728300902
HRP_PartialCorr,3.6633109632057663,0.276923997680301,0.8099158195507333,0.3419170128494502,0.4289776037401209,-0.8423247535271081,0.3287615572506014,2299,0.7203421989085101,76.0,0.2355275341671733,0.0257957105557563,0.0978142227657002,29.640484668793288
HRP_Dynamic_94,4.418723665468818,0.3077264963690251,0.8050887713233162,0.3822267895541733,0.4767429911696311,-0.8480905739572684,0.3628462640884512,2299,0.7491205196333437,76.0,0.4743759113903895,0.0477453180097482,0.1266175896619239,26.309595331977736
HRP_TailDep,3.3690657168438847,0.263778863890288,0.8099878043485426,0.3256578216044132,0.4062163143911575,-0.8516137925324079,0.3097400091488654,2299,0.7078031909091358,76.0,0.3646846645111199,0.0379596946247534,0.1094784610653821,29.190259814825737
HRP_TailDepShrunk,3.1838008435588723,0.2551150048962396,0.8165698786003249,0.3124227473753133,0.390193182953185,-0.8509675500776488,0.2997940460514164,2299,0.7007095108942054,76.0,0.351989384311331,0.0368672684163162,0.0953610462189045,31.49784787558249
HRP_ShrunkCov,4.276804542116166,0.3022279189351289,0.8202116738066915,0.3684755150246232,0.4613121332402746,-0.8512756170416174,0.35502945566025,2299,0.745519988712384,76.0,0.3531987957899247,0.0372073977805044,0.103938968092741,30.50385789019617
HRP_VolStd,4.020688909790169,0.2919820006355387,0.8139318179219734,0.3587302943642009,0.4474106663850593,-0.8558301734550047,0.3411681542575218,2299,0.7354321201716152,76.0,0.3675256211825426,0.0385866786391179,0.1101647362210371,29.49087785151124
IVP,3.1127044675038933,0.251704335990077,0.8169012241522217,0.3081208946054589,0.3880694907920735,-0.8464470538021068,0.2973657181030529,2299,0.6968590032705356,76.0,0.1824848444861555,0.0209644773738576,0.0844331044523075,32.48515651340454
MVP,28.66986851382728,0.7129777383783749,0.7722407870285664,0.9232583286901688,1.2928833795943595,-0.7959581080358236,0.8957478178566226,2299,1.0565159786752265,76.0,0.3808951856168734,0.0371212034904631,0.5030947109378325,3.2611340736675176
ERC,2.325740048495546,0.2102007817491982,0.8423915698682981,0.2495285912963986,0.3148381594019775,-0.8692315644052124,0.2418236869861392,2299,0.6626128475604809,76.0,0.194664665336421,0.0230339882962334,0.0485039819222919,41.91705448763239
MaxDiv,3.6437519212447262,0.2760721938013064,0.93267298964869,0.2960010602486672,0.3957094375208785,-0.9304893790272142,0.2966956958605243,2299,0.7187210224802602,76.0,0.5533195968671736,0.0593738728604141,0.2194209252125561,8.439377233540865
CS_MOM_eq21,2.1704763289548294,0.2010494077871312,0.89957695845986,0.2234932830331072,0.2983102843964964,-0.9212315445705748,0.2182398214347392,2299,0.6632657501292915,76.0,1.4202629972366814,0.1324305494505494,0.0790892952077162,13.157894736842104
RM_MOM,1.1810793135037971,0.1317983745093318,0.2249593184497988,0.5858764838796555,0.782428941944743,-0.3971839790432067,0.3318320512998196,2299,0.6631640443658587,76.0,0.3663600816532155,0.0341376804724142,0.0198271665439065,209.63812596377053
MOM_HRP,3.513162399893142,0.2703063252411792,0.8884969530335769,0.3042287588249773,0.4016707595093055,-0.905524422825635,0.2985080450924829,2299,0.725562032155251,76.0,1.435897144555749,0.1345403575056089,0.1793291579044475,12.572526294999776
HERC,3.326306825409092,0.2618070873176781,0.8442987175806141,0.3100882209887765,0.3873243050994545,-0.8731664300314594,0.2998364095470842,2299,0.7123644345163473,76.0,0.5670187942589009,0.0595294469272057,0.1501043190898849,18.765894772621863
NCO,15.030341542253176,0.5534681534937684,0.782333354665218,0.7074582084393074,0.9793689187090178,-0.8240891608928769,0.6716119805460148,2299,0.9330001559744104,76.0,0.5778505007727402,0.0559140549581047,0.4195267899273763,5.25697723565315
HRP_PathSig,3.5084678253623274,0.2700964468506051,0.8136951842870912,0.3319381164670978,0.4168285117111491,-0.8554778659830791,0.3157258154659813,2299,0.7142882395841338,76.0,0.382831477141355,0.0393730935316177,0.1036758323456037,29.353542073730445
HRP_NodeEmbed,3.296680281979521,0.2604312568246436,0.8161448182929765,0.3190993203502212,0.4011182808455548,-0.8523793987301722,0.3055344336250028,2299,0.7051422077297745,76.0,0.3876989840690318,0.0398181317408883,0.0987168129095163,30.127189996185223
HRP_Contrastive,3.4077103499798067,0.265546999557394,0.8113514133699441,0.327289747921244,0.4080571696653922,-0.8486886656376933,0.312890946125533,2299,0.7101892436415723,76.0,0.3994858858469608,0.0410930261072514,0.1032305805555893,29.87635573959177
HRP_TS2Vec,3.2475439063577687,0.2581317121159103,0.81600219762155,0.3163370305475918,0.3944604075843666,-0.8540873762681173,0.3022310354753177,2299,0.7034109297833776,76.0,0.3832843790241568,0.039469195148423,0.0980800956561936,30.481202986764096
HODL_BTC,7.488009086418272,0.4047206167175416,0.6124103365148525,0.6608650974455362,0.8810773190055345,-0.7662925431645938,0.5281541890596353,2297,0.8677700550348224,,,,,
NCO_RT,-0.9717820604921849,-0.4324578196145703,1.0615702230619355,-0.4073756122955412,-0.569171723720117,-0.9917751612282834,-0.4360442129635354,2299,0.0033518027987754,76.0,1.637138462899136,0.153736316135526,0.6388894522444348,2.549771349921659
HRP_Denoised,3.460221105476262,0.2679287789694458,0.8148666747763749,0.3288007563236941,0.4115008965632901,-0.8440317311124992,0.3174392254379997,2299,0.7122743826174363,76.0,0.3337669707012961,0.0351143804777386,0.1027611690999451,30.552888879120964
CRISP,16.926827343530615,0.5812919943444494,0.741141888659408,0.7843194444128665,1.0001250074505796,-0.8007537828250522,0.7259310000305669,2299,0.9894060901585058,76.0,0.3049822567329693,0.0313243152831657,0.3144836545897228,7.108340997629466
NCO_CRISP,16.131934868018234,0.5699466012751453,0.7622914794145982,0.7476754190048613,0.9304164981567893,-0.811462811712342,0.7023693421913553,2299,0.9773710037390191,76.0,0.448485563587564,0.045110840231623164,0.30734122209768655,9.10531347589848
